,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,Date,MACD,Signal_Line,up,down,RSI,EMA10,EMA20,EMA50,EMA200,EMA250,EMA300,DMIN,DMIP,ADX14
21-09-2021,BAJFINANCE,EQ,7442.45,7481.15,7847.1,7401,7820,7813.85,7633.73,1993133,1.5215E+15,155330,545472,0.2737,21-09-2021,257.4532966,271.6017197,371.4,0,73.84032298,7476.818762,7295.471331,6837.748948,5965.064311,5847.63113,5761.30263,0,266.1,68.5173568
22-09-2021,BAJFINANCE,EQ,7813.85,7850,7895,7771,7780.15,7793.65,7830.06,1500541,1.17493E+15,114708,573337,0.3821,22-09-2021,266.3008897,270.5415537,0,-20.2,72.02443141,7534.424442,7342.916919,6875.235264,5983.259193,5863.137256,5774.806599,0,47.9,65.26559172
23-09-2021,BAJFINANCE,EQ,7793.65,7863.6,7999,7804.65,7890.05,7899.05,7914.73,2109147,1.66933E+15,160052,731590,0.3469,23-09-2021,278.605974,272.1544377,105.4,0,78.35503964,7600.719998,7395.881974,6915.384862,6002.321788,5879.359669,5788.921173,0,104,63.15990739
24-09-2021,BAJFINANCE,EQ,7899.05,7949.85,7949.85,7725.65,7786.45,7793.4,7816.87,1129346,8.82795E+14,159552,484984,0.4294,24-09-2021,276.6437924,273.0523087,0,-105.65,67.15156905,7635.752726,7433.740834,6949.816828,6020.143462,5894.610986,5802.23997,79,0,60.08289578
27-09-2021,BAJFINANCE,EQ,7793.4,7849,7860,7740.05,7794,7795.45,7797.32,650774,5.07429E+14,78772,246962,0.3795,27-09-2021,272.1173676,272.8653204,2.05,0,68.72166818,7664.788594,7468.189326,6982.978913,6037.808204,5909.757114,5815.48389,0,0,56.83748616
28-09-2021,BAJFINANCE,EQ,7795.45,7815,7825,7425.05,7536,7543.3,7581.48,1572301,1.19204E+15,144602,760945,0.484,28-09-2021,245.3554408,267.3633445,0,-252.15,54.40935193,7642.699758,7475.342723,7004.952289,6052.788222,5922.773392,5826.964396,315,0,52.40720836
29-09-2021,BAJFINANCE,EQ,7543.3,7529,7635.85,7456.15,7510,7515.4,7532.75,945879,7.12507E+14,109016,331880,0.3509,29-09-2021,219.3664049,257.7639566,0,-27.9,52.61732852,7619.554348,7479.157702,7024.969846,6067.341573,5935.463643,5838.183237,0,0,48.23355601
30-09-2021,BAJFINANCE,EQ,7515.4,7545,7700,7490.9,7674,7668.1,7622.74,1490707,1.13633E+15,140935,602246,0.404,30-09-2021,208.6859191,247.9483491,152.7,0,60.62558733,7628.38083,7497.152207,7050.190637,6083.269517,5949.269511,5850.342152,0,64.15,44.99947831
01-10-2021,BAJFINANCE,EQ,7668.1,7620,7639.2,7475,7525,7522.75,7531.72,937740,7.06279E+14,91377,336076,0.3584,01-10-2021,186.3449583,235.6276709,0,-145.35,53.09344446,7609.175225,7499.590092,7068.722376,6097.592706,5961.807204,5861.454497,15.9,0,41.60485472
04-10-2021,BAJFINANCE,EQ,7522.75,7588,7769,7560.15,7693.15,7695.05,7689.69,1090198,8.38328E+14,88726,332421,0.3049,04-10-2021,180.4624965,224.5946361,172.3,0,59.9669564,7624.78882,7518.205321,7093.284244,6113.487804,5975.617904,5873.637856,0,129.8,39.08652429
